id,resId,leaderId,passCrisisType,monsterIdList,des
1,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物1
2,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物2
3,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物3
4,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物4
5,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物5
6,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物6
7,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物7
8,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物8
9,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物9
10,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物10
11,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物11
12,1,1001,0,"0,0,1001,0,0,0,0,0",一个怪物12
