skillId,talentName,talentResId
1007,蛮力,1007
1013,能量,1007
1019,巨力,1007
1025,充盈,1007
1031,融合,1007
1008,蛮力,1007
1014,能量,1007
1020,巨力,1007
1026,充盈,1007
1032,融合,1007
1009,蛮力,1007
1015,能量,1007
1021,巨力,1007
1027,充盈,1007
1033,融合,1007
1010,蛮力,1007
1016,能量,1007
1022,巨力,1007
1028,充盈,1007
1034,融合,1007
1011,蛮力,1007
1017,能量,1007
1023,巨力,1007
1029,充盈,1007
1035,融合,1007
1012,蛮力,1007
1018,能量,1007
1024,巨力,1007
1030,充盈,1007
1036,融合,1007
1043,秩序,1007
1049,推进,1007
1055,溅射,1007
1061,横扫,1007
1067,专注,1007
1073,精准,1007
1079,压制,1007
1085,无界,1007
1044,秩序,1007
1050,推进,1007
1056,溅射,1007
1062,横扫,1007
1068,专注,1007
1074,精准,1007
1080,压制,1007
1086,无界,1007
1045,秩序,1007
1051,推进,1007
1057,溅射,1007
1063,横扫,1007
1069,专注,1007
1075,精准,1007
1081,压制,1007
1087,无界,1007
1046,秩序,1007
1052,推进,1007
1058,溅射,1007
1064,横扫,1007
1070,专注,1007
1076,精准,1007
1082,压制,1007
1088,无界,1007
1047,秩序,1007
1053,推进,1007
1059,溅射,1007
1065,横扫,1007
1071,专注,1007
1077,精准,1007
1083,压制,1007
1089,无界,1007
1048,秩序,1007
1054,推进,1007
1060,溅射,1007
1066,横扫,1007
1072,专注,1007
1078,精准,1007
1084,压制,1007
1090,无界,1007
1097,秩序,1007
1103,推进,1007
1109,溅射,1007
1115,横扫,1007
1121,专注,1007
1127,精准,1007
1133,压制,1007
1139,无界,1007
1098,秩序,1007
1104,推进,1007
1110,溅射,1007
1116,横扫,1007
1122,专注,1007
1128,精准,1007
1134,压制,1007
1140,无界,1007
1099,秩序,1007
1105,推进,1007
1111,溅射,1007
1117,横扫,1007
1123,专注,1007
1129,精准,1007
1135,压制,1007
1141,无界,1007
1100,秩序,1007
1106,推进,1007
1112,溅射,1007
1118,横扫,1007
1124,专注,1007
1130,精准,1007
1136,压制,1007
1142,无界,1007
1101,秩序,1007
1107,推进,1007
1113,溅射,1007
1119,横扫,1007
1125,专注,1007
1131,精准,1007
1137,压制,1007
1143,无界,1007
1102,秩序,1007
1108,推进,1007
1114,溅射,1007
1120,横扫,1007
1126,专注,1007
1132,精准,1007
1138,压制,1007
1144,无界,1007
